Fund,Department,Division,Account,Amount,Annotation
General Fund,Human Resources Department,Human Resources Administration,Contracted Services,61280.83, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sewer,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Uniforms,-403.01, 
General Fund,Planning & Development Dept,Planning Services Division,Insurance & Bonds,-5051.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Safety Equipment,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Legal Services,5000.0, 
General Fund,Human Resources Department,Human Resources Administration,Rental/Lease,5533.9, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Other,472.72000000000116, 
General Fund,Human Resources Department,Human Resources Administration,Services - Advertising,40032.009999999995, 
General Fund,Human Resources Department,Human Resources Administration,Services - Copying and Dupl,5408.41, 
General Fund,Building Safety Department,Permitting & Inspections Div,Compensation - Temp/Seasonal,-1948.3100000000013, 
General Fund,Building Safety Department,Permitting & Inspections Div,Compensation - Overtime,21223.76, 
General Fund,Building Safety Department,Permitting & Inspections Div,Compensation - Full Time Reg,74809.66999999993, 
General Fund,Building Safety Department,Permitting & Inspections Div,Compensation - Part Time,12273.0, 
General Fund,Human Resources Department,Health Clinic Services,Mach & Equipment,0.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,Materials,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,339.29, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,400.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Maintenance and Repairs,40000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Admission Fees,38741.340000000026, 
General Fund,Building Safety Department,Permitting & Inspections Div,Compensation - Stand By Pay,-45.840000000000146, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,1968.79, 
General Fund,Finance Department,Finance Administration,Prior Year Ad Valorem 2010,94787.81, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Materials,-1402.7199999999993, 
General Fund,Finance Department,Finance Administration,Prior Year Ad Valorem 2011,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year Ad Valorem 2012,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Quality of Serv Award,-318.6400000000001, 
General Fund,Public Works Department,Streets & Sidewalks Division,Radio Charges,36.320000000000164, 
General Fund,Planning & Development Dept,Historic Resources Division,Employer - LGERS,336.0799999999999, 
General Fund,Planning & Development Dept,Historic Resources Division,FICA Tax Expense,791.9200000000001, 
General Fund,Public Works Department,Streets & Sidewalks Division,Telephone,-192.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Employer - 401(K),247.0999999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Commissions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Electricity,2518.3099999999995, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Quality of Serv Award,1056.0, 
General Fund,Transportation Department,Traffic Engineering Division,Materials,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Cellular Usage,2460.02, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Telephone,1420.24, 
General Fund,Public Works Department,Streets & Sidewalks Division,Cellular Usage,-275.40999999999985, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Overages & Shortages,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Fleet Fuel Charges,-1341.0900000000001, 
General Fund,Transportation Department,Traffic Engineering Division,Fleet Maintenance Charges,634.0500000000002, 
General Fund,Police Department,Police Support Division,Supplies - ERT Ammunition,1.0, 
General Fund,Police Department,Police Support Division,Supplies - Uniforms,2717.35, 
General Fund,Transportation Department,Traffic Engineering Division,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Full Time Reg,1621.4599999999991, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,-1042.3899999999994, 
General Fund,Police Department,Police Support Division,Supplies - Other,4612.700000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Overtime,10.0, 
General Fund,Planning & Development Dept,Planning Services Division,Services - Postage,695.4499999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,150.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,350.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,416.47999999999956, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,-144.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Materials,-1112.12, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Full Time Reg,5778.240000000005, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Overtime,1000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Group Insurance Expense,1958.0, 
General Fund,Transportation Department,Traffic Engineering Division,Compensation - Temp/Seasonal,11000.0, 
General Fund,Finance Department,Risk Management Division,Dues & Subscriptions,988.4, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,2820.55, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water and Sewer,0.0, 
General Fund,Public Works Department,Public Works Administration,Street Closing Fees,-4000.0, 
General Fund,Public Works Department,Public Works Administration,Oper Transfers from Strm Wtr,-18750.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Maint & Repair - Equipment,-99.14, 
General Fund,Public Works Department,Streets & Sidewalks Division,Training,1093.63, 
General Fund,Information Technology Dept.,Information Services,Long Distance,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Street Cut Utility Charges,17512.679999999993, 
General Fund,Transportation Department,Transportation Planning Div,FICA Tax Expense,97.25, 
General Fund,Information Technology Dept.,Information Services,Telephone,0.0, 
General Fund,Transportation Department,Transportation Planning Div,Employer - LGERS,121.89999999999964, 
General Fund,Transportation Department,Transportation Planning Div,Employer - 401(K),91.25, 
General Fund,Human Resources Department,Health Clinic Services,Cellular Usage,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Telephone,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Sales & Serv - Overlay Fees,116014.12, 
General Fund,Public Works Department,Streets & Sidewalks Division,Sales & Serv - Degredation Fee,142726.75, 
General Fund,Information Technology Dept.,Information Services,Electricity,0.0, 
General Fund,Information Technology Dept.,Information Services,Radio Lines,0.0, 
General Fund,Information Technology Dept.,Information Services,Pager Service,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Charges - Cost Allocations,0.0, 
General Fund,Information Technology Dept.,Information Services,Cellular Usage,0.0, 
General Fund,Finance Department,Risk Management Division,Training,-1110.1799999999998, 
General Fund,Police Department,Police Administration Division,Insurance & Bonds,369011.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Other Capital Outlay,0.0, 
General Fund,Information Technology Dept.,Information Services,Propane,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Payments in Lieu of Taxes Stat,791.0, 
General Fund,Finance Department,Budget Division,Supplies - Other,-11.75, 
General Fund,Transportation Department,Transportation Planning Div,Group Insurance Expense,-1223.0, 
General Fund,Finance Department,Budget Division,Supplies - Books/Audio Visual,100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Mileage Reimbursement,0.0, 
General Fund,Transportation Department,Transportation Planning Div,Restricted Intergov Fed Grants,3386.56, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Licenses Taxes & Fees,0.0, 
General Fund,Finance Department,Budget Division,Services - Postage,100.0, 
General Fund,Police Department,FICA Tax Exp-Police Sep Allow,Police Separation Allowance,182798.47999999998, 
General Fund,Public Works Department,Sanitation Division,FICA Tax Expense,8770.010000000002, 
General Fund,Public Works Department,Sanitation Division,Employer - LGERS,6466.1600000000035, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Full Time Reg,32270.51000000001, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Overtime,15321.18, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Mach & Equipment,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Stand By Pay,107.76999999999998, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Compensation - Full Time Reg,26277.18000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Training,5903.33, 
General Fund,Planning & Development Dept,Planning Services Division,Materials,920.01, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Compensation - Overtime,2319.45, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Dues & Subscriptions,552.74, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rental/Lease,5510.279999999999, 
General Fund,Administration Services Dept,Fleet Management Division,CNG Bank Fees,1304.04, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Copying and Dupl,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Outside Printing,67.51999999999998, 
General Fund,Police Department,Patrol Division,Services - Laundry/Dry Clean,188.11, 
General Fund,Police Department,Patrol Division,Materials,-5081.450000000001, 
General Fund,Administration Services Dept,Fleet Management Division,Licenses Taxes & Fees,1031.38, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Contracted Services,19405.169999999984, 
General Fund,Non-Departmental Department,Non-Divisional,Supplies - Other,-10.5, 
General Fund,Public Works Department,Public Works Administration,Inc from Inv - Powell Bill,0.0, 
General Fund,Public Works Department,Sanitation Division,Other Capital Outlay,0.0, 
General Fund,Public Works Department,Engineering Services Division,Mach & Equipment,0.0, 
General Fund,Information Technology Dept.,Information Services,Concessions - Pay Phone,0.0, 
General Fund,Administration Services Dept,City Manager,Mileage Reimbursement,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Materials,-5929.2, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Non-Labor,187826.24, 
General Fund,Fire & Rescue Department,Emergency Response Division,Rstrctd Intrgv Fed Grants Oper,0.0, 
General Fund,Finance Department,Budget Division,Services - Copying and Dupl,171.69999999999982, 
General Fund,Finance Department,Accounting Division,Employer - 401(K),6639.0999999999985, 
General Fund,Finance Department,Accounting Division,Employer - LGERS,8352.629999999997, 
General Fund,Finance Department,Accounting Division,FICA Tax Expense,9183.989999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rents - Vendor & Booths,-3000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-45416.37, 
General Fund,Human Resources Department,Health Clinic Services,FICA Tax Expense,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Employer - LGERS,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,-395.31, 
General Fund,Human Resources Department,Health Clinic Services,Employer - 401(K),0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,1035.0, 
General Fund,Public Works Department,Public Works Administration,Inc from Inv - Powell Bill,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Green Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,239.72000000000003, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Janitorial,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,16893.0, 
General Fund,Finance Department,Accounting Division,Group Insurance Expense,-45522.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Construction,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Other Capital Outlay,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Child Care Fees,49640.859999999986, 
General Fund,Building Safety Department,Permitting & Inspections Div,Charges for Services-Exam Fee,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Chrgs for Serv - Address Fee,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Chrgs for Serv-Plan Review Fee,0.0, 
General Fund,Public Works Department,Engineering Services Division,Contra Salaries and Wages,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maint & Repair - Equipment,-1132.83, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Maintenance and Repairs,333.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Telephone,2096.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Contracted Services,311049.61, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Long Distance,500.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Employer - 401(K),1894.4400000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Workers Compensation,2468.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Unemployment,0.0, 
General Fund,Public Works Department,Sanitation Division,Contracted Services,-20275.0, 
General Fund,Public Works Department,Sanitation Division,Professional Services,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Materials,500.0, 
General Fund,Public Works Department,Sanitation Division,Services - Advertising,16955.0, 
General Fund,Public Works Department,Sanitation Division,Services - Copying and Dupl,-4677.41, 
General Fund,Public Works Department,Streets & Sidewalks Division,Bad Debts,0.0, 
General Fund,Public Works Department,Sanitation Division,Employer - 401(K),5503.0899999999965, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,FICA Tax Expense,3437.9000000000015, 
General Fund,Human Resources Department,Health Clinic Services,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Employer - LGERS,2601.09, 
General Fund,Public Works Department,Sanitation Division,Group Insurance Expense,99878.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Cellular Usage,359.52, 
General Fund,Finance Department,Purchasing Operations Division,Licenses Taxes & Fees,87.5, 
General Fund,Human Resources Department,Human Resources Administration,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-1554.88, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,8832.0, 
General Fund,Finance Department,Purchasing Central Stores,Dues & Subscriptions,0.0, 
General Fund,Finance Department,Purchasing Central Stores,Training,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Services - Outside Printing,300.0, 
General Fund,Transportation Department,Transportation Admin Div,Rental/Lease,224.3199999999997, 
General Fund,Transportation Department,Transportation Planning Div,Training,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Professional Services,1200.0, 
General Fund,Transportation Department,Transportation Planning Div,Dues & Subscriptions,0.0, 
General Fund,Transportation Department,Transportation Admin Div,Contracted Services,-7322.23, 
General Fund,Finance Department,Purchasing Central Stores,Inventory Adjustment,-1403.3, 
General Fund,Finance Department,Purchasing Central Stores,Water Inventory Adjustment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Other Miscellaneous Revenue,11520.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Materials,9992.800000000003, 
General Fund,Administration Services Dept,Community Relations,Telephone,1016.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Group Insurance Expense,-18805.0, 
General Fund,Administration Services Dept,Community Relations,Cellular Usage,223.53999999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Phone Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,7336.88, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,6626.53, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),4676.91, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,-3000.0, 
General Fund,Transportation Department,Transportation Admin Div,Services - Advertising,100.0, 
General Fund,Transportation Department,Transportation Admin Div,Services - Copying and Dupl,7004.0599999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,600.0, 
General Fund,Police Department,Criminal Investigations Div,Oth Loc Partic City Schools,-3232.399999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-4788.3, 
Stormwater Fund,Public Works Department,CAFR Preparation,Debt Proceeds - DENR Funded,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,OPEB Pension Contributions,0.0, 
General Fund,Administration Services Dept,Building Maintenance,Licenses Taxes & Fees,410.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Professional Services,12900.0, 
General Fund,Information Technology Dept.,GIS Appl Services Division,Maintenance and Repairs,55844.17999999999, 
General Fund,Police Department,Police Administration Division,Propertyroom.com,792.96, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,125.00999999999999, 
General Fund,Administration Services Dept,City Clerk Division,Sales and Services,132.5, 
General Fund,Administration Services Dept,City Clerk Division,Applications Fees,1215.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,2882.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Admission Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Green Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-8394.35, 
General Fund,Human Resources Department,Health Clinic Services,Maint & Repair - Equipment,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Lic.& Prmts - Zoning Violation,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Employer - 401(K),-11.36999999999989, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Employer - LGERS,-15.170000000000073, 
General Fund,Public Works Department,Engineering Services Division,Mach & Equipment,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Fleet Maintenance Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,62.26000000000022, 
General Fund,Economic Development Departmen,Economic Development Division,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease - Computers,0.0, 
General Fund,Administration Services Dept,Administration,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Sponsorships - Fireworks,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,-2293.18, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-2120.12, 
General Fund,Administration Services Dept,Sustainability Division,Restricted Intergov Fed Grants,-6352.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Telephone,0.0, 
General Fund,Police Department,Police Support Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Cellular Usage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Electricity,-27942.309999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-1540.89, 
General Fund,Public Works Department,Streets & Sidewalks Division,Services - Copying and Dupl,188.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Other Capital Outlay,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Non-Resident Fees,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Rental/Lease,11383.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,570.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Professional Services,2394.5, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contracted Services,-478.51, 
General Fund,Public Works Department,Streets & Sidewalks Division,Rents - Equipment Rental,0.0, 
General Fund,Information Technology Dept.,Information Services,Materials,-43.71, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,FICA Tax Expense,1128.2000000000007, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Employer - LGERS,507.65999999999985, 
General Fund,Police Department,Criminal Investigations Div,Services - Copying and Dupl,-98.41, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Natural Gas,-368.5100000000002, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Equipment Rental,1017.72, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Non-Resident Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Admission Fees,5182.450000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Water and Sewer,-17450.86, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Group Insurance Expense,0.0, 
General Fund,Finance Department,Finance Administration,Supplies - Other,4702.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Vehicle Allowance,-32.63999999999942, 
General Fund,Public Works Department,Public Works Administration,Maintenance and Repairs,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Compensation - Part Time,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Workers Compensation,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Compensation - Full Time Reg,0.0, 
General Fund,Public Works Department,Public Works Administration,Maint & Repair - Buildings,1376.25, 
General Fund,Public Works Department,Public Works Administration,Maint & Repair - Equipment,2360.0, 
General Fund,Finance Department,Finance Administration,Services - Postage,25.0, 
General Fund,Administration Services Dept,Sustainability Division,Cellular Usage,-390.56999999999994, 
General Fund,Information Technology Dept.,IT Support Services Division,Rental/Lease,43700.0, 
General Fund,Police Department,Police Administration Division,Fines & Fees Court Fees,-10625.900000000001, 
General Fund,Information Technology Dept.,IT Support Services Division,Contracted Services,3343.619999999999, 
General Fund,Information Technology Dept.,IT Support Services Division,Professional Services,0.0, 
General Fund,Administration Services Dept,Sustainability Division,Telephone,145.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Group Insurance Expense,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Rental/Lease - Computers,196000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,6673.75, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Training,1812.25, 
General Fund,Police Department,Criminal Investigations Div,Contracted Services,2991.04, 
General Fund,Police Department,Criminal Investigations Div,Professional Services,-285.0, 
General Fund,Police Department,Criminal Investigations Div,Rental/Lease,3259.3199999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Employer - 401(K),370.3899999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,105.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Maintenance and Repairs,163474.56, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - Powell Bill,-56337.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-1522.8199999999997, 
General Fund,Transportation Department,Traffic Engineering Division,Group Insurance Expense,-1000.0, 
General Fund,Human Resources Department,Human Resources Administration,Admin. Fees - Wellness Program,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Materials,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Maint & Repair - Buildings,3145.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,0.0, 
General Fund,Public Works Department,Public Works Administration,Compensation - Overtime,0.0, 
General Fund,Public Works Department,Public Works Administration,Compensation - Part Time,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Employer - LGERS,-75.67000000000007, 
General Fund,Public Works Department,Public Works Administration,Compensation - Temp/Seasonal,10192.0, 
General Fund,Transportation Department,Traffic Engineering Division,Employer - 401(K),-53.649999999999636, 
General Fund,Public Works Department,Public Works Administration,Compensation - Full Time Reg,-45438.090000000026, 
General Fund,Human Resources Department,Health Clinic Services,Supplies - Uniforms,0.0, 
General Fund,Public Works Department,Sanitation Division,Supplies - Other,17000.0, 
General Fund,Human Resources Department,Health Clinic Services,Services - Postage,0.0, 
General Fund,Public Works Department,Engineering Services Division,Contra Salaries and Wages-PB,-94722.0, 
General Fund,Public Works Department,Engineering Services Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Public Works Department,Engineering Services Division,Contra Salaries and Wages,5908.45, 
General Fund,Human Resources Department,Health Clinic Services,Supplies - Books/Audio Visual,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Supplies - Other,13.65, 
General Fund,Public Works Department,Sanitation Division,Contracted Services,33109.5, 
General Fund,Economic Development Departmen,Economic Development Division,Infrastructure,0.0, 
General Fund,Finance Department,Budget Division,Services - Advertising,300.0, 
General Fund,Administration Services Dept,Community Relations,Compensation - Full Time Reg,-4250.619999999995, 
General Fund,Administration Services Dept,Community Relations,Compensation - Overtime,0.0, 
General Fund,Administration Services Dept,Community Relations,Compensation - Temp/Seasonal,5040.62, 
General Fund,Fire & Rescue Department,Emergency Response Division,Other Capital Outlay,0.0, 
General Fund,Public Works Department,Public Works Administration,Quality of Serv Award,746.6199999999999, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Fire Inspection Fees,-33514.919999999984, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Mandatory Fire Inspection Fees,-37044.56, 
General Fund,Finance Department,Finance Administration,Inc from Invest - Bond Proc,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,FICA Tax Expense,880.5400000000009, 
General Fund,Finance Department,Accounting Division,Fines & Fees Interest - Late C,-107.78999999999996, 
General Fund,Finance Department,Accounting Division,Fines & Fees Return Check Chg,-661.1000000000004, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Cellular Usage,-15447.31, 
General Fund,Planning & Development Dept,Community Development Division,Restrictd Intergv County Parti,12000.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Long Distance,-909.78, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Radio Charges,13644.729999999996, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Telephone,-16798.910000000003, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,10996.230000000003, 
General Fund,Police Department,Police Support Division,Bad Debts,0.0, 
